Season,Track,Track_Type,Total_Entries,Races_At_Track,Avg_Laps,Min_Laps,Max_Laps,Lead_Lap_Finishers,Different_Winners
1981,Charlotte Motor Speedway,intermediate,83,2,257.7469879518072,4.0,400.0,5,2
1986,Bristol Motor Speedway,short,62,2,370.61290322580646,9.0,500.0,5,2
1958,Bridgehampton Race Circuit,road course,17,1,30.88235294117647,13.0,35.0,5,1
1965,Daytona International Speedway,intermediate,132,4,57.59090909090909,0.0,160.0,9,4
1965,Occoneechee Speedway,intermediate,43,2,94.30232558139535,1.0,167.0,2,2
1957,Lincoln Speedway,intermediate,28,1,146.5,9.0,200.0,5,1
2025,Charlotte Motor Speedway,intermediate,40,1,369.475,111.0,400.0,17,1
2021,Road America,road course,40,1,58.275,6.0,62.0,34,1
1965,Bristol Motor Speedway,short,70,2,272.87142857142857,0.0,500.0,5,2
2020,Atlanta Motor Speedway,intermediate,40,1,312.0,3.0,325.0,10,1
2022,Phoenix Raceway,intermediate,72,2,301.1388888888889,45.0,312.0,41,2
1970,Atlanta Motor Speedway,intermediate,80,2,224.8875,2.0,328.0,3,2
2013,Kansas Speedway,intermediate,86,2,233.08139534883722,0.0,267.0,49,2
1973,Nashville Speedway,intermediate,61,2,287.5409836065574,2.0,420.0,2,2
1964,Nashville Speedway,short,44,2,204.27272727272728,0.0,400.0,3,1
1963,Tar Heel Speedway,short,58,3,155.60344827586206,3.0,200.0,4,2
1963,Martinsville Speedway,short,69,2,331.2463768115942,0.0,500.0,2,2
1954,Daytona Beach & Road Course,road course,62,1,30.64516129032258,2.0,39.0,4,1
2019,New Hampshire Motor Speedway,intermediate,37,1,283.4054054054054,110.0,301.0,18,1
1976,Pocono Raceway,intermediate,40,1,143.5,2.0,200.0,4,1
2020,Auto Club Speedway,intermediate,38,1,194.89473684210526,80.0,200.0,17,1
2008,Richmond Raceway,intermediate,86,2,389.6162790697674,228.0,410.0,48,2
1984,Bristol Motor Speedway,short,60,2,421.4,11.0,500.0,5,2
2023,Auto Club Speedway,intermediate,36,1,180.52777777777777,75.0,200.0,20,1
1982,Rockingham Speedway,intermediate,68,2,349.45588235294116,27.0,492.0,4,2
1958,Starkey Speedway,short,22,1,135.72727272727272,20.0,150.0,2,1
1988,Riverside International Raceway,road course,43,1,77.23255813953489,5.0,95.0,14,1
1957,Coastal Speedway,short,15,1,141.46666666666667,10.0,200.0,1,1
2019,Indianapolis Motor Speedway,intermediate,40,1,143.575,40.0,160.0,23,1
1995,Talladega Superspeedway,superspeedway,85,2,169.98823529411766,45.0,188.0,30,2
1964,Starkey Speedway,short,22,1,134.5909090909091,2.0,200.0,1,1
1953,Tri-City Speedway,short,23,1,200.0,200.0,200.0,1,1
1961,Greenville-Pickens Speedway,short,65,3,144.35384615384615,8.0,200.0,4,3
1954,Occoneechee Speedway,intermediate,28,1,78.07142857142857,8.0,100.0,4,1
1952,Speedway Park,short,29,1,187.25,149.0,200.0,3,1
1975,Riverside International Raceway,road course,70,2,100.77142857142857,4.0,191.0,4,2
2008,Dover International Speedway,intermediate,86,2,375.7674418604651,16.0,400.0,22,2
2025,Talladega Superspeedway,superspeedway,79,2,167.56962025316454,42.0,193.0,56,2
1967,Trenton Speedway,intermediate,36,1,167.77777777777777,0.0,300.0,2,1
2002,Phoenix Raceway,intermediate,43,1,298.13953488372096,120.0,312.0,16,1
1964,Augusta International Speedway,short,30,1,210.3,1.0,300.0,2,1
1969,Kingsport Speedway,short,23,1,163.04347826086956,6.0,250.0,1,1
1989,North Wilkesboro Speedway,intermediate,64,2,347.78125,77.0,400.0,18,2
1981,Texas World Speedway,intermediate,34,1,140.14705882352942,1.0,200.0,3,1
2023,New Hampshire Motor Speedway,intermediate,36,1,281.47222222222223,71.0,301.0,27,1
2006,Watkins Glen International,road course,43,1,86.0,58.0,90.0,33,1
2000,Dover International Speedway,intermediate,86,2,333.51162790697674,2.0,400.0,14,1
1958,Bowman Gray Stadium,short,47,2,146.3404255319149,1.0,200.0,6,2
2005,Richmond Raceway,intermediate,86,2,374.8953488372093,23.0,400.0,38,2
1971,Albany Saratoga Speedway,short,34,1,160.61764705882354,1.0,250.0,1,1
1968,Bristol Motor Speedway,short,72,2,325.90277777777777,8.0,500.0,3,1
2011,Richmond Raceway,intermediate,86,2,345.3255813953488,7.0,400.0,29,2
1969,Savannah Speedway,short,29,1,151.51724137931035,1.0,200.0,3,1
2022,Talladega Superspeedway,superspeedway,76,2,162.85526315789474,23.0,188.0,48,2
